"quelle_georef","QID_quelle_georef","katalognr","fst_id","fst_name","gemeinde","GEMEINDE_QID","GEMEINDE_GeoNames","GEMEINDE_TGN","GEMEINDE_IDAI","GEMEINDE_OSM_Relation","GEMEINDE_matchLabel","GEMEINDE_matchScore","GEMEINDE_matchReason","kreis","KREIS_QID","KREIS_GeoNames","KREIS_TGN","KREIS_IDAI","KREIS_OSM_Relation","KREIS_matchLabel","KREIS_matchScore","KREIS_matchReason","bundesland","BUNDESLAND_QID","BUNDESLAND_GeoNames","BUNDESLAND_TGN","BUNDESLAND_IDAI","BUNDESLAND_OSM_Relation","BUNDESLAND_matchLabel","BUNDESLAND_matchScore","BUNDESLAND_matchReason","land","LAND_QID","LAND_GeoNames","LAND_TGN","LAND_IDAI","LAND_OSM_Relation","LAND_matchLabel","LAND_matchScore","LAND_matchReason","kultur","entdeckung","QID_entdeckung","publikation_arch","QID_publikation","fundstellenart","QID_fundstellenart","genauigkeit_m","FID","methode","quellen_typ","methodenbeschr","wgs84_x","wgs84_y","dating_start","dating_certainty_start","dating_end","dating_certainty_end","dating_method","dating_certainty_range","dating_perio.do","dating_perio.do_match","sherd"
"Swieder 2009, Kulczycka-Leciejewiczowa 1993, Karte 1 Nr. 23","Q139304628","","306","Niederguhren/Kije","Sulechów","Q1974958","7533164","","","2613151","Sulechów","1.0","Exact match via rdfs:label [global index] | 'Sulechów' -> 'Sulechów'","pow. Zielonogórski","Q318384","7531003","","","2417503","Powiat Zielonogórski","1.0","Exact match via rdfs:label [global index] | 'Powiat Zielonogórski' -> 'Powiat Zielonogórski'","Woj. Lubuskie","Q54157","3337494","","","130969","lubuskie","1.0","Exact match via skos:altLabel [global index] | 'Lubuskie' -> 'lubuskie' | [normalised: stripped -> 'Lubuskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","SBK","Lesefunde","","Umbreit 1937","Q139304632","unbek.","Q59496158","1000","120","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Kulczycka-Leciejewiczowa 1993","15.54","52.1","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0j9r729p9b","exactMatch",""
"Kulczycka-Leciejewiczowa 1993, Karte 1","Q139304628","16","152","Górecko","Gmina Sulechów","Q1974958","7533164","","","2613151","Gmina Sulechów","1.0","Exact match via rdfs:label [global index] | 'Gmina Sulechów' -> 'Gmina Sulechów'","pow. Zielonogórski","Q318384","7531003","","","2417503","Powiat Zielonogórski","1.0","Exact match via rdfs:label [global index] | 'Powiat Zielonogórski' -> 'Powiat Zielonogórski'","Woj. Wielkopolskie","Q54187","3337498","7024119","","130971","wielkopolskie","1.0","Exact match via skos:altLabel [global index] | 'Wielkopolskie' -> 'wielkopolskie' | [normalised: stripped -> 'Wielkopolskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","SBK","unbek.","","Kulczycka-Leciejewiczowa 1993","Q139304628","unbek.","Q59496158","1500","121","Mittelpunkt der Gemeinde","Printpublikation","die Gemeinde wurde in digitalen Kartenwerken nachgeschlagen und der ungefähre Mittelpunkt der Gemeinde ausgelesen","15.57","52.78","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kulczycka-Leciejewiczowa 1993, Karte 1","Q139304628","26","296","Mozów","Gmina Zwierzyn","Q244653","7531751","","","2883387","gmina Zwierzyn","1.0","Exact match via skos:altLabel [global index] | 'Gmina Zwierzyn' -> 'gmina Zwierzyn'","pow. Strzelecko-Drezdenecki","Q317976","7530981","","","2663925","Powiat Strzelecko-Drezdenecki","1.0","Exact match via rdfs:label [global index] | 'Powiat Strzelecko-Drezdenecki' -> 'Powiat Strzelecko-Drezdenecki'","Woj. Lubuskie","Q54157","3337494","","","130969","lubuskie","1.0","Exact match via skos:altLabel [global index] | 'Lubuskie' -> 'lubuskie' | [normalised: stripped -> 'Lubuskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","SBK","unbek.","","Kulczycka-Leciejewiczowa 1993","Q139304628","unbek.","Q59496158","2000","122","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Kulczycka-Leciejewiczowa 1993","15.57","52.08","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kulczycka-Leciejewiczowa 1993, Karte 1","Q139304628","15","154","Goszczanowiec/Guschterholländer","Gmina Drezdenko","Q2491540","7532994","","","2824562","Gmina Drezdenko","1.0","Exact match via rdfs:label [global index] | 'Gmina Drezdenko' -> 'Gmina Drezdenko'","pow. Strzelecko-Drezdenecki","Q317976","7530981","","","2663925","Powiat Strzelecko-Drezdenecki","1.0","Exact match via rdfs:label [global index] | 'Powiat Strzelecko-Drezdenecki' -> 'Powiat Strzelecko-Drezdenecki'","Woj. Wielkopolskie","Q54187","3337498","7024119","","130971","wielkopolskie","1.0","Exact match via skos:altLabel [global index] | 'Wielkopolskie' -> 'wielkopolskie' | [normalised: stripped -> 'Wielkopolskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","SBK","großflächige Ausgrabung","Q959782","Umbreit 1937","Q139304632","Siedlung","Q486972","1500","123","Mittelpunkt der Gemeinde","Printpublikation","die Gemeinde wurde in digitalen Kartenwerken nachgeschlagen und der ungefähre Mittelpunkt der Gemeinde ausgelesen","15.62","52.73","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kulczycka-Leciejewiczowa 1993, Karte 1","Q139304628","30","470","Wojnowo","Gmina Zwierzyn","Q244653","7531751","","","2883387","gmina Zwierzyn","1.0","Exact match via skos:altLabel [global index] | 'Gmina Zwierzyn' -> 'gmina Zwierzyn'","pow. Strzelecko-Drezdenecki","Q317976","7530981","","","2663925","Powiat Strzelecko-Drezdenecki","1.0","Exact match via rdfs:label [global index] | 'Powiat Strzelecko-Drezdenecki' -> 'Powiat Strzelecko-Drezdenecki'","Woj. Lubuskie","Q54157","3337494","","","130969","lubuskie","1.0","Exact match via skos:altLabel [global index] | 'Lubuskie' -> 'lubuskie' | [normalised: stripped -> 'Lubuskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","SBK","unbek.","","Kulczycka-Leciejewiczowa 1993","Q139304628","unbek.","Q59496158","1500","125","Mittelpunkt der Gemeinde","Printpublikation","die Gemeinde wurde in digitalen Kartenwerken nachgeschlagen und der ungefähre Mittelpunkt der Gemeinde ausgelesen","15.79","52.1","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kulczycka-Leciejewiczowa 1993, Karte 1","Q139304628","20","89","Bytom Odrzański","Gmina Bytom Odrzański","Q2248472","7533367","","","2865855","Gmina Bytom Odrzański","1.0","Exact match via rdfs:label [global index] | 'Gmina Bytom Odrzański' -> 'Gmina Bytom Odrzański'","pow. Nowosolski","Q317943","7530855","","","2663868","powiat nowosolski","1.0","Exact match via rdfs:label [global index] | 'Powiat Nowosolski' -> 'powiat nowosolski'","Woj. Lubuskie","Q54157","3337494","","","130969","lubuskie","1.0","Exact match via skos:altLabel [global index] | 'Lubuskie' -> 'lubuskie' | [normalised: stripped -> 'Lubuskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","SBK","unbek.","","Kulczycka-Leciejewiczowa 1993","Q139304628","unbek.","Q59496158","2500","126","Mittelpunkt der Gemeinde","Printpublikation","die Gemeinde wurde in digitalen Kartenwerken nachgeschlagen und der ungefähre Mittelpunkt der Gemeinde ausgelesen","15.82","51.73","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kulczycka-Leciejewiczowa 1993, Karte 1","Q139304628","40","489","Zameczno","Gmina Żukowice","Q2326629","7532941","","","2709067","Gmina Żukowice","1.0","Exact match via rdfs:label [global index] | 'Gmina Żukowice' -> 'Gmina Żukowice'","pow. Głogówski","Q631754","7530806","","","451316","Powiat Głogowski","0.9375","Fuzzy match (score=0.94) via rdfs:label [global index] | 'Powiat Głogówski' -> 'Powiat Głogowski'","Woj. Dolnośląskie","Q54150","3337492","","","224457","Dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'Dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","SBK","unbek.","","Kulczycka-Leciejewiczowa 1993","Q139304628","Grab","Q173387","1000","128","Mittelpunkt der Gemeinde","Printpublikation","die Gemeinde wurde in digitalen Kartenwerken nachgeschlagen und der ungefähre Mittelpunkt der Gemeinde ausgelesen","15.93","51.67","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kulczycka-Leciejewiczowa 1993, Karte 1","Q139304628","41","508","Żukowice","Gmina Żukowice","Q2326629","7532941","","","2709067","Gmina Żukowice","1.0","Exact match via rdfs:label [global index] | 'Gmina Żukowice' -> 'Gmina Żukowice'","pow. Głogówski","Q631754","7530806","","","451316","Powiat Głogowski","0.9375","Fuzzy match (score=0.94) via rdfs:label [global index] | 'Powiat Głogówski' -> 'Powiat Głogowski'","Woj. Dolnośląskie","Q54150","3337492","","","224457","Dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'Dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","SBK","großflächige Ausgrabung","Q959782","Kulczycka-Leciejewiczowa 1993","Q139304628","Siedlung und Grab","Q486972","3000","129","Mittelpunkt der Gemeinde","Printpublikation","die Gemeinde wurde in digitalen Kartenwerken nachgeschlagen und der ungefähre Mittelpunkt der Gemeinde ausgelesen","15.98","51.67","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kulczycka-Leciejewiczowa 1993, Karte 1","Q139304628","32","36","Biechów","Gmina Głogów","Q2467328","7531676","","","2709064","Gmina Głogów","1.0","Exact match via rdfs:label [global index] | 'Gmina Głogów' -> 'Gmina Głogów'","pow. Głogówski","Q631754","7530806","","","451316","Powiat Głogowski","0.9375","Fuzzy match (score=0.94) via rdfs:label [global index] | 'Powiat Głogówski' -> 'Powiat Głogowski'","Woj. Dolnośląskie","Q54150","3337492","","","224457","Dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'Dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","SBK","großflächige Ausgrabung","Q959782","Kulczycka-Leciejewiczowa 1993","Q139304628","Siedlung","Q486972","3000","131","Mittelpunkt der Gemeinde","Printpublikation","die Gemeinde wurde in digitalen Kartenwerken nachgeschlagen und der ungefähre Mittelpunkt der Gemeinde ausgelesen","16.02","51.68","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kulczycka-Leciejewiczowa 1993, Karte 1","Q139304628","34","144","Głogów","Gmina Głogów","Q2467328","7531676","","","2709064","Gmina Głogów","1.0","Exact match via rdfs:label [global index] | 'Gmina Głogów' -> 'Gmina Głogów'","pow. Głogówski","Q631754","7530806","","","451316","Powiat Głogowski","0.9375","Fuzzy match (score=0.94) via rdfs:label [global index] | 'Powiat Głogówski' -> 'Powiat Głogowski'","Woj. Dolnośląskie","Q54150","3337492","","","224457","Dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'Dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","SBK","unbek.","","Kulczycka-Leciejewiczowa 1993","Q139304628","unbek.","Q59496158","5000","134","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Kulczycka-Leciejewiczowa 1993","16.09","51.66","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kulczycka-Leciejewiczowa 1993, Karte 1","Q139304628","37","146","Głogów-Żarków","Gmina Głogów","Q2467328","7531676","","","2709064","Gmina Głogów","1.0","Exact match via rdfs:label [global index] | 'Gmina Głogów' -> 'Gmina Głogów'","pow. Głogówski","Q631754","7530806","","","451316","Powiat Głogowski","0.9375","Fuzzy match (score=0.94) via rdfs:label [global index] | 'Powiat Głogówski' -> 'Powiat Głogowski'","Woj. Dolnośląskie","Q54150","3337492","","","224457","Dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'Dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","SBK","unbek.","","Kulczycka-Leciejewiczowa 1993","Q139304628","Siedlung","Q486972","2000","136","Mittelpunkt der Gemeinde","Printpublikation","die Gemeinde wurde in digitalen Kartenwerken nachgeschlagen und der ungefähre Mittelpunkt der Gemeinde ausgelesen","16.11","51.65","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kulczycka-Leciejewiczowa 1993, Karte 1","Q139304628","35","145","Głogów-Nosocice/Noßwitz","Gmina Głogów","Q2467328","7531676","","","2709064","Gmina Głogów","1.0","Exact match via rdfs:label [global index] | 'Gmina Głogów' -> 'Gmina Głogów'","pow. Głogówski","Q631754","7530806","","","451316","Powiat Głogowski","0.9375","Fuzzy match (score=0.94) via rdfs:label [global index] | 'Powiat Głogówski' -> 'Powiat Głogowski'","Woj. Dolnośląskie","Q54150","3337492","","","224457","Dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'Dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","SBK","großflächige Ausgrabung","Q959782","von Richthofen 1930","Q139304635","unbek.","Q59496158","1000","138","Mittelpunkt der Gemeinde","Printpublikation","die Gemeinde wurde in digitalen Kartenwerken nachgeschlagen und der ungefähre Mittelpunkt der Gemeinde ausgelesen","16.13","51.65","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kulczycka-Leciejewiczowa 1993, Karte 1","Q139304628","38","399","Schrepau/Krzepów","Gmina Głogów","Q2467328","7531676","","","2709064","Gmina Głogów","1.0","Exact match via rdfs:label [global index] | 'Gmina Głogów' -> 'Gmina Głogów'","pow. Głogówski","Q631754","7530806","","","451316","Powiat Głogowski","0.9375","Fuzzy match (score=0.94) via rdfs:label [global index] | 'Powiat Głogówski' -> 'Powiat Głogowski'","Woj. Dolnośląskie","Q54150","3337492","","","224457","Dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'Dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","SBK","unbek.","","Kulczycka-Leciejewiczowa 1993","Q139304628","Grab","Q173387","1000","139","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Kulczycka-Leciejewiczowa 1993","16.14","51.65","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"von Richthofen 1930, Karte 2","Q139304635","19","3","Alt Jauer/Stary Jawór","Gmina Jawor","Q731805","","","","","Gmina Jawor","1.0","Direct override | 'Gmina Jawor' -> QID=Q731805 | [override -> QID=Q731805]","pow. Jaworski","Q637105","7530815","","","451358","powiat jaworski","1.0","Exact match via rdfs:label [global index] | 'Powiat Jaworski' -> 'powiat jaworski'","Woj. Dolnośląskie","Q54150","3337492","","","224457","Dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'Dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","SBK","","","von Richthofen 1930","Q139304635","unbek.","Q59496158","2500","140","Mittelpunkt der Gemeinde","Printpublikation","die Gemeinde wurde in digitalen Kartenwerken nachgeschlagen und der ungefähre Mittelpunkt der Gemeinde ausgelesen","16.16","51.08","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"von Richthofen 1930, Karte 2","Q139304635","27","468","Woischau/Wojszyn","Gmina Pęcław","Q2100627","7531993","","","2709066","Gmina Pęcław","1.0","Exact match via rdfs:label [global index] | 'Gmina Pęcław' -> 'Gmina Pęcław'","pow. Głogówski","Q631754","7530806","","","451316","Powiat Głogowski","0.9375","Fuzzy match (score=0.94) via rdfs:label [global index] | 'Powiat Głogówski' -> 'Powiat Głogowski'","Woj. Dolnośląskie","Q54150","3337492","","","224457","Dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'Dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","SBK","","","von Richthofen 1930","Q139304635","unbek.","Q59496158","3000","141","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  von Richthofen 1930, map 2","16.19","51.66","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kulczycka-Leciejewiczowa 1993, Karte 1","Q139304628","39","352","Priedemost/Przedmoście","Gmina Głogów","Q2467328","7531676","","","2709064","Gmina Głogów","1.0","Exact match via rdfs:label [global index] | 'Gmina Głogów' -> 'Gmina Głogów'","pow. Głogówski","Q631754","7530806","","","451316","Powiat Głogowski","0.9375","Fuzzy match (score=0.94) via rdfs:label [global index] | 'Powiat Głogówski' -> 'Powiat Głogowski'","Woj. Dolnośląskie","Q54150","3337492","","","224457","Dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'Dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","SBK","großflächige Ausgrabung","Q959782","von Richthofen 1930","Q139304635","Grab","Q173387","4000","142","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Kulczycka-Leciejewiczowa 1993","16.16","51.63","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"Kulczycka-Leciejewiczowa 1993, Karte 1","Q139304628","31","106","Dryżyna","Gmina Szlichtyngowa","Q2216341","7533493","","","2864888","gmina Szlichtyngowa","1.0","Exact match via skos:altLabel [global index] | 'Gmina Szlichtyngowa' -> 'gmina Szlichtyngowa'","pow. Wschowski","Q318376","7530812","","","2663872","powiat wschowski","1.0","Exact match via rdfs:label [global index] | 'Powiat Wschowski' -> 'powiat wschowski'","Woj. Lubuskie","Q54157","3337494","","","130969","lubuskie","1.0","Exact match via skos:altLabel [global index] | 'Lubuskie' -> 'lubuskie' | [normalised: stripped -> 'Lubuskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","SBK","unbek.","","Kulczycka-Leciejewiczowa 1993","Q139304628","Grab","Q173387","2000","144","Mittelpunkt der Gemeinde","Printpublikation","die Gemeinde wurde in digitalen Kartenwerken nachgeschlagen und der ungefähre Mittelpunkt der Gemeinde ausgelesen","16.28","51.71","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"von Richthofen 1930, Karte 2","Q139304635","18","280","Mertschütz/Mierczyce","Gmina Wądroże Wielkie","Q2458456","7531970","","","2710249","Gmina Wądroże Wielkie","1.0","Exact match via rdfs:label [global index] | 'Gmina Wądroże Wielkie' -> 'Gmina Wądroże Wielkie'","pow. Jaworski","Q637105","7530815","","","451358","powiat jaworski","1.0","Exact match via rdfs:label [global index] | 'Powiat Jaworski' -> 'powiat jaworski'","Woj. Dolnośląskie","Q54150","3337492","","","224457","Dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'Dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","SBK","","","von Richthofen 1930","Q139304635","unbek.","Q59496158","2000","145","Mittelpunkt der Gemeinde","Printpublikation","die Gemeinde wurde in digitalen Kartenwerken nachgeschlagen und der ungefähre Mittelpunkt der Gemeinde ausgelesen","16.31","51.09","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"von Richthofen 1930, Karte 2","Q139304635","21","423","Steinau an der Oder/Ścinawa","Gmina Ścinawa","Q2376267","7533214","","","2911036","Gmina Ścinawa","1.0","Exact match via rdfs:label [global index] | 'Gmina Ścinawa' -> 'Gmina Ścinawa'","pow. Lubiński","Q687839","7530831","","","451317","powiat lubiński","1.0","Exact match via rdfs:label [global index] | 'Powiat Lubiński' -> 'powiat lubiński'","Woj. Dolnośląskie","Q54150","3337492","","","224457","Dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'Dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","SBK","","","von Richthofen 1930","Q139304635","unbek.","Q59496158","2500","146","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Kulczycka-Leciejewiczowa 1993","16.43","51.41","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"von Richthofen 1930, Karte 2","Q139304635","22","224","Köben/Chobienia (Runda)","Gmina Rudna","Q776885","7532242","","","2911034","Gmina Rudna","1.0","Exact match via rdfs:label [global index] | 'Gmina Rudna' -> 'Gmina Rudna'","pow. Lubiński","Q687839","7530831","","","451317","powiat lubiński","1.0","Exact match via rdfs:label [global index] | 'Powiat Lubiński' -> 'powiat lubiński'","Woj. Dolnośląskie","Q54150","3337492","","","224457","Dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'Dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","SBK","","","von Richthofen 1930","Q139304635","unbek.","Q59496158","2500","147","Mittelpunkt der Gemeinde","Printpublikation","die Gemeinde wurde in digitalen Kartenwerken nachgeschlagen und der ungefähre Mittelpunkt der Gemeinde ausgelesen","16.45","51.54","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"von Richthofen 1930, Karte 2","Q139304635","28","2","Alt Guhrau/Stara Góra","Gmina Góra","Q2617476","7533516","","","2709176","Gmina Góra","1.0","Exact match via rdfs:label [global index] | 'Gmina Góra' -> 'Gmina Góra'","pow. Gorẃski","Q636757","","","","","Powiat Górowski","1.0","Direct override | 'pow. Gorẃski' -> QID=Q636757 | [override -> QID=Q636757]","Woj. Dolnośląskie","Q54150","3337492","","","224457","Dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'Dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","SBK","","","von Richthofen 1930","Q139304635","unbek.","Q59496158","3000","148","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Kulczycka-Leciejewiczowa 1993","16.52","51.66","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
"von Richthofen 1930, Karte 2","Q139304635","29","387","Schlabitz/Sławęcice","Gmina Góra","Q2617476","7533516","","","2709176","Gmina Góra","1.0","Exact match via rdfs:label [global index] | 'Gmina Góra' -> 'Gmina Góra'","pow. Gorẃski","Q636757","","","","","Powiat Górowski","1.0","Direct override | 'pow. Gorẃski' -> QID=Q636757 | [override -> QID=Q636757]","Woj. Dolnośląskie","Q54150","3337492","","","224457","Dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'Dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","SBK","","","von Richthofen 1930","Q139304635","unbek.","Q59496158","2000","149","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Kulczycka-Leciejewiczowa 1993","16.52","51.7","-4800","+/- 100 years","-4350","+/- 100 years","Q816829","low precision, as only stylistic dating","http://n2t.net/ark:/99152/p0wctqtnkjq","relatedMatch",""
