"quelle_georef","QID_quelle_georef","katalognr","fst_id","fst_name","gemeinde","kreis","KREIS_QID","KREIS_GeoNames","KREIS_TGN","KREIS_IDAI","KREIS_OSM_Relation","KREIS_matchLabel","KREIS_matchScore","KREIS_matchReason","bundesland","BUNDESLAND_QID","BUNDESLAND_GeoNames","BUNDESLAND_TGN","BUNDESLAND_IDAI","BUNDESLAND_OSM_Relation","BUNDESLAND_matchLabel","BUNDESLAND_matchScore","BUNDESLAND_matchReason","land","LAND_QID","LAND_GeoNames","LAND_TGN","LAND_IDAI","LAND_OSM_Relation","LAND_matchLabel","LAND_matchScore","LAND_matchReason","perio.do","kultur","entdeckung","QID_entdeckung","publikation_arch","QID_publikation","fundstellenart","QID_fundstellenart","genauigkeit_m","FID","methode","quellen_typ","methodenbeschr","wgs84_x","wgs84_y"
"LfDA Sachsen-Anhalt","Q1802049","10","320","Oßmanstedt","Weimar","Weimarer Land","Q7879","","","","","Weimarer Land","1.0","Direct override | 'Weimarer Land' -> QID=Q7879 | [override -> QID=Q7879]","Thüringen","Q1205","2822542","7003689","2052949","62366","Thüringen","1.0","Exact match via rdfs:label [global index] | 'Thüringen' -> 'Thüringen'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","Kaufmann 1976","","unbek.","Q59496158","50","11","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","11.42","51.02"
"Kaufmann 1976","","362","279","Memleben 1","Kaiserpfalz","Burgenlandkreis","Q14920405","3302156","","","62639","Burgenlandkreis","1.0","Exact match via rdfs:label [global index] | 'Burgenlandkreis' -> 'Burgenlandkreis'","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","Kaufmann 1976","","unbek.","Q59496158","50","12","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.5","51.27"
"Kaufmann 1976","","506","261","Löderburg","Staßfurt","Salzlandkreis","Q6081","2950072","","2044961","62502","Salzlandkreis","1.0","Exact match via rdfs:label [global index] | 'Salzlandkreis' -> 'Salzlandkreis'","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","Kaufmann 1976","","unbek.","Q59496158","250","13","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.54","51.88"
"Kaufmann 1976","","220","182","Helfta 65","Lutherstadt Eilsleben","Mansfeld-Südharz","Q6092","","","","","Landkreis Mansfeld-Südharz","1.0","Direct override | 'Mansfeld-Südharz' -> QID=Q6092 | [override -> QID=Q6092]","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","Kaufmann 1976","","unbek.","Q59496158","50","14","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.56","51.5"
"LfDA Sachsen-Anhalt","Q1802049","534","201","Jersleben 2","Niedere Börde","Landkreis Börde","Q6064","","","","","Landkreis Börde","1.0","Direct override | 'Landkreis Börde' -> QID=Q6064 | [stripped -> 'Börde'; override -> QID=Q6064]","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","Kaufmann 1976","","unbek.","Q59496158","500","15","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","11.56","52.24"
"LfDA Sachsen-Anhalt","Q1802049","523","25","Barleben 20","Barleben","Landkreis Börde","Q6064","","","","","Landkreis Börde","1.0","Direct override | 'Landkreis Börde' -> QID=Q6064 | [stripped -> 'Börde'; override -> QID=Q6064]","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","Kaufmann 1976","","unbek.","Q59496158","0","16","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","11.63","52.21"
"Kaufmann 1976","","478","272","Magdeburg-Prester 4","Magdeburg","Magdeburg","Q1733","2874544","7004456","","62481","Magdeburg","1.0","Exact match via rdfs:label [global index] | 'Magdeburg' -> 'Magdeburg'","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","Kaufmann 1976","","unbek.","Q59496158","100","17","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.68","52.11"
"Kaufmann 1976","","186","35","Bernburg 5","Bernburg","Salzlandkreis","Q6081","2950072","","2044961","62502","Salzlandkreis","1.0","Exact match via rdfs:label [global index] | 'Salzlandkreis' -> 'Salzlandkreis'","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","Kaufmann 1976","","unbek.","Q59496158","50","18","Georeferenzierung einer gedruckten Karte","Printpublikation","Die Katalogbeschreibung von Kaufmann 1976 enthält TK-Annahmen, die in digitale Koordinaten übertragen  und durch Informationen des LDfA Sachsen-Anhalt bestätigt wurden","11.71","51.79"
"LfDA Sachsen-Anhalt","Q1802049","340","311","Niedermöllern (OT von Möllern) 8","Lanitz-Hasseltal","Burgenlandkreis","Q14920405","3302156","","","62639","Burgenlandkreis","1.0","Exact match via rdfs:label [global index] | 'Burgenlandkreis' -> 'Burgenlandkreis'","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","Kaufmann 1976","","unbek.","Q59496158","0","19","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","11.71","51.16"
"LfDA Sachsen-Anhalt","Q1802049","492","90","Calbe 6","Calbe","Salzlandkreis","Q6081","2950072","","2044961","62502","Salzlandkreis","1.0","Exact match via rdfs:label [global index] | 'Salzlandkreis' -> 'Salzlandkreis'","Sachsen-Anhalt","Q1206","2842565","7003687","2044275","62607","Sachsen-Anhalt","1.0","Exact match via rdfs:label [global index] | 'Sachsen-Anhalt' -> 'Sachsen-Anhalt'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","Kaufmann 1976","","unbek.","Q59496158","100","20","Übernahme aus externer Datenbank","Printpublikation","Koordinaten wurden vom LdfA Sachsen-Anhalt übernommen und anhand des Katalogs auf Genauigkeit der Verortung überprüft","11.77","51.89"
