"quelle_georef","QID_quelle_georef","katalognr","fst_id","fst_name","gemeinde","kreis","KREIS_QID","KREIS_GeoNames","KREIS_TGN","KREIS_IDAI","KREIS_OSM_Relation","KREIS_matchLabel","KREIS_matchScore","KREIS_matchReason","bundesland","BUNDESLAND_QID","BUNDESLAND_GeoNames","BUNDESLAND_TGN","BUNDESLAND_IDAI","BUNDESLAND_OSM_Relation","BUNDESLAND_matchLabel","BUNDESLAND_matchScore","BUNDESLAND_matchReason","land","LAND_QID","LAND_GeoNames","LAND_TGN","LAND_IDAI","LAND_OSM_Relation","LAND_matchLabel","LAND_matchScore","LAND_matchReason","perio.do","kultur","entdeckung","QID_entdeckung","publikation_arch","QID_publikation","fundstellenart","QID_fundstellenart","genauigkeit_m","FID","methode","quellen_typ","methodenbeschr","wgs84_x","wgs84_y"
"Denkmaldaten / BLDAM 2021","Q897952","543","186","Herzsprung 7","Herzsprung","Uckermark","Q338635","2820521","","","","Uckermark","1.0","Exact match via rdfs:label [global index] | 'Uckermark' -> 'Uckermark'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","68","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.02","53.00"
"Denkmaldaten / BLDAM 2021","Q897952","","157","Gramzow 23","Gramzow","Uckermark","Q338635","2820521","","","","Uckermark","1.0","Exact match via rdfs:label [global index] | 'Uckermark' -> 'Uckermark'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","","","unbek.","Q59496158","0","69","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.02","53.22"
"Denkmaldaten / BLDAM 2021","Q897952","49174","171","Grünow bei Schönermark 17/18 (17)","Grünow bei Schönermark","Uckermark","Q338635","2820521","","","","Uckermark","1.0","Exact match via rdfs:label [global index] | 'Uckermark' -> 'Uckermark'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Einzelfund","Q1144458","","","unbek.","Q59496158","0","70","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.08","53.12"
"Denkmaldaten / BLDAM 2021","Q897952","366","121","Flemsdorf 6/1 (6)","Flemsdorf","Uckermark","Q338635","2820521","","","","Uckermark","1.0","Exact match via rdfs:label [global index] | 'Uckermark' -> 'Uckermark'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","72","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.17","53.03"
"Denkmaldaten / BLDAM 2021","Q897952","366","121","Flemsdorf 6/1 (6)","Flemsdorf","Uckermark","Q338635","2820521","","","","Uckermark","1.0","Exact match via rdfs:label [global index] | 'Uckermark' -> 'Uckermark'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","Notbergung","Q959782","Gramsch 1960","","unbek.","Q59496158","0","73","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.17","53.03"
"Denkmaldaten / BLDAM 2021","Q897952","155","33","Berkholz zu Berkholz-Meyenburg 5","Berkholz zu Berkholz-Meyenburg","Uckermark","Q338635","2820521","","","","Uckermark","1.0","Exact match via rdfs:label [global index] | 'Uckermark' -> 'Uckermark'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","74","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.19","53.06"
"Denkmaldaten / BLDAM 2021","Q897952","158","34","Berkholz zu Berkholz-Meyenburg 8","Berkholz zu Berkholz-Meyenburg","Uckermark","Q338635","2820521","","","","Uckermark","1.0","Exact match via rdfs:label [global index] | 'Uckermark' -> 'Uckermark'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Rössener","Lesefunde","Q1144458","","","unbek.","Q59496158","0","75","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.19","53.06"
"Denkmaldaten / BLDAM 2021","Q897952","","218","Klein-Rietz","Rietz-Neuendorf","Oder-Spree","Q6178","3249086","7076938","","62628","Oder-Spree","1.0","Exact match via skos:altLabel [global index] | 'Oder-Spree' -> 'Oder-Spree'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","Umbreit 1937","","unbek.","Q59496158","0","76","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.2","52.21"
"BLDAM 2021","Q897952","1348","436","Trebatsch/Sabrodt 1","Sabrodt","Oder-Spree","Q6178","3249086","7076938","","62628","Oder-Spree","1.0","Exact match via skos:altLabel [global index] | 'Oder-Spree' -> 'Oder-Spree'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","FBG","Einzelfund","Q1144458","Wetzel/Beran 2023","","unbek.","Q59496158","0","77","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.2","52.09"
"Museum Szczecin","","","313","Nowe Objezierze 7","Moryń","pow. Gryfiński","Q326895","","","","","Powiat Gryfiński","1.0","Direct override | 'pow. Gryfiński' -> QID=Q326895 | [override -> QID=Q326895]","Woj. Lubuskie","Q54157","3337494","","","130969","lubuskie","1.0","Exact match via skos:altLabel [global index] | 'Lubuskie' -> 'lubuskie' | [normalised: stripped -> 'Lubuskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","","SBK","Siedlung","","Czerniak et al 2020","","Siedlung","Q486972","0","78","Übernahme aus externer Datenbank","digitale Datenbank","Koordinaten wurden aus dem WebGIS des Museum Szczecin übernommen und mit der Beschreibung in Czerniak et al 2020 überprüft","14.32","52.86"
"Denkmaldaten / BLDAM 2021","Q897952","","332","Platkow 13","Gusow-Platkow","Märkisch-Oderland","Q6181","3249083","7076941","","318248","Märkisch-Oderland","1.0","Exact match via skos:altLabel [global index] | 'Märkisch-Oderland' -> 'Märkisch-Oderland'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","","","unbek.","Q59496158","0","79","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.33","52.61"
"Denkmaldaten / BLDAM 2021","Q897952","55005","406","Seelow 20","Seelow","Märkisch-Oderland","Q6181","3249083","7076941","","318248","Märkisch-Oderland","1.0","Exact match via skos:altLabel [global index] | 'Märkisch-Oderland' -> 'Märkisch-Oderland'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","Ausgrabung","Q959782","Völker 2002","","Siedlung","Q486972","0","80","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.38","52.55"
"Museum Angermünde","Q76632599","","137","Gartz ?","Gartz","Uckermark","Q338635","2820521","","","","Uckermark","1.0","Exact match via rdfs:label [global index] | 'Uckermark' -> 'Uckermark'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK?","Lesefunde","Q1144458","","","unbek.","Q59496158","3000","81","Mittelpunkt der Gemeinde","Printpublikation","die Gemeinde wurde in digitalen Kartenwerken nachgeschlagen und der ungefähre Mittelpunkt der Gemeinde ausgelesen","14.39","53.21"
"Denkmaldaten / BLDAM 2021","Q897952","43938","301","Neuendorf 23","Neuendorf","Spree-Neiße","Q6165","3249089","7076935","","62683","Spree-Neiße","1.0","Exact match via skos:altLabel [global index] | 'Spree-Neiße' -> 'Spree-Neiße'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","Ausgrabung","Q959782","","","Grab?","Q173387","0","82","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.42","51.8"
"Denkmaldaten / BLDAM 2021","Q897952","21176","307","Niederjesar 3","Niederjesar","Märkisch-Oderland","Q6181","3249083","7076941","","318248","Märkisch-Oderland","1.0","Exact match via skos:altLabel [global index] | 'Märkisch-Oderland' -> 'Märkisch-Oderland'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","Einzelfund","Q1144458","","","Grab?","Q173387","0","83","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.46","52.44"
"Denkmaldaten / BLDAM 2021","Q897952","6258","61","Booßen 2","Booßen","Frankfurt (Oder)","Q4024","2925535","7005972","","62523","Frankfurt (Oder)","1.0","Exact match via rdfs:label [global index] | 'Frankfurt (Oder)' -> 'Frankfurt (Oder)'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","Oberflächenfunde bei Ausgrabung","Q959782","","","Siedlung","Q486972","0","84","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.49","52.38"
"Dziewanowski 2023","","3","428","Szczecin-Gumieńce 17b","Szczecin","pow. Szczecińska","Q558408","","","","","Powiat Szczecinecki","1.0","Direct override | 'pow. Szczecińska' -> QID=Q558408 | [override -> QID=Q558408]","Woj. Zachodniopomorskie","Q54188","3337499","","","104401","zachodniopomorskie","1.0","Exact match via skos:altLabel [global index] | 'Zachodniopomorskie' -> 'zachodniopomorskie' | [normalised: stripped -> 'Zachodniopomorskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","","Rössener","Ausgrabung","Q959782","Dziewanowski 2015","","Siedlung","Q486972","800","85","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Dziewanowski 2023","14.49","53.41"
"Denkmaldaten / BLDAM 2021","Q897952","24974","167","Grötsch 8","Grötsch","Spree-Neiße","Q6165","3249089","7076935","","62683","Spree-Neiße","1.0","Exact match via skos:altLabel [global index] | 'Spree-Neiße' -> 'Spree-Neiße'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","Ausgrabung Bersu","Q959782","Sprockhoff 1926","","Grab?","Q173387","0","86","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.52","51.8"
"Museum Angermünde","","","398","Schöpsdorf 37","Merzdorf","Hoyerswerda","Q571947","","","","","Landkreis Hoyerswerda","1.0","Direct override | 'Hoyerswerda' -> QID=Q571947 | [override -> QID=Q571947]","Sachsen","Q1202","2842566","7003685","2315107","62467","Sachsen","1.0","Exact match via rdfs:label [global index] | 'Sachsen' -> 'Sachsen'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SRK","","","","","unbek.","Q59496158","0","87","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.53","51.38"
"Wetzel 1988","","","445","Uhyst 13","Boxberg/O.L.","Görlitz","Q6317","","","","","Landkreis Görlitz","1.0","Direct override | 'Görlitz' -> QID=Q6317 | [override -> QID=Q6317]","Sachsen","Q1202","2842566","7003685","2315107","62467","Sachsen","1.0","Exact match via rdfs:label [global index] | 'Sachsen' -> 'Sachsen'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SRK","","","Wetzel 1988","","unbek.","Q59496158","200","88","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von Wetzel 1988","14.53","51.37"
"Wetzel 1988","","","446","Uhyst 19","Boxberg/O.L.","Görlitz","Q6317","","","","","Landkreis Görlitz","1.0","Direct override | 'Görlitz' -> QID=Q6317 | [override -> QID=Q6317]","Sachsen","Q1202","2842566","7003685","2315107","62467","Sachsen","1.0","Exact match via rdfs:label [global index] | 'Sachsen' -> 'Sachsen'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SRK","","","Wetzel 1988","","unbek.","Q59496158","200","89","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von Wetzel 1988","14.53","51.37"
"Denkmaldaten / BLDAM 2021","Q897952","","181","Heinersbrück 42","Heinersbrück","Spree-Neiße","Q6165","3249089","7076935","","62683","Spree-Neiße","1.0","Exact match via skos:altLabel [global index] | 'Spree-Neiße' -> 'Spree-Neiße'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","","","","","unbek.","Q59496158","0","90","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.54","51.81"
"Denkmaldaten / BLDAM 2021","Q897952","","181","Heinersbrück 42","Heinersbrück","Spree-Neiße","Q6165","3249089","7076935","","62683","Spree-Neiße","1.0","Exact match via skos:altLabel [global index] | 'Spree-Neiße' -> 'Spree-Neiße'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","Guhrau","","","","","unbek.","Q59496158","0","91","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.54","51.81"
"Denkmaldaten / BLDAM 2021","Q897952","","180","Heinersbrück 31","Heinersbrück","Spree-Neiße","Q6165","3249089","7076935","","62683","Spree-Neiße","1.0","Exact match via skos:altLabel [global index] | 'Spree-Neiße' -> 'Spree-Neiße'","Brandenburg","Q1208","2945356","7000096","2048409","62504","Brandenburg","1.0","Exact match via rdfs:label [global index] | 'Brandenburg' -> 'Brandenburg'","Deutschland","Q183","2921044","7000084","2044274","51477","Deutschland","1.0","Exact match via rdfs:label [global index] | 'Deutschland' -> 'Deutschland'","","SBK","Einzelfund","Q1144458","","","unbek.","Q59496158","0","92","Übernahme aus externer Datenbank","Strukturen des Landesdenkmalamts","die Koordinaten wurden beim BLDAM angefragt und übernommen","14.54","51.81"
"Kulczycka-Leciejewiczowa 1993, Karte 1","","21","172","Gubin","Gmina Gubin","pow. Krośnieński","Q317835","7531030","","","2663855","powiat krośnieński","1.0","Exact match via rdfs:label [global index] | 'Powiat Krośnieński' -> 'powiat krośnieński'","Woj. Lubuskie","Q54157","3337494","","","130969","lubuskie","1.0","Exact match via skos:altLabel [global index] | 'Lubuskie' -> 'lubuskie' | [normalised: stripped -> 'Lubuskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","","SBK","Sondage, Oberflächenuntersuchung oder zufällige Entdeckung","","Kulczycka-Leciejewiczowa 1993","","Siedlung","Q486972","4000","93","Mittelpunkt der Gemeinde","Printpublikation","die Gemeinde wurde in digitalen Kartenwerken nachgeschlagen und der ungefähre Mittelpunkt der Gemeinde ausgelesen","14.73","51.96"
"Raddatz 1956","","","206","Kaaso/Kozów","Gmina Gubin","pow. Krośnieński","Q317835","7531030","","","2663855","powiat krośnieński","1.0","Exact match via rdfs:label [global index] | 'Powiat Krośnieński' -> 'powiat krośnieński'","Woj. Lubuskie","Q54157","3337494","","","130969","lubuskie","1.0","Exact match via skos:altLabel [global index] | 'Lubuskie' -> 'lubuskie' | [normalised: stripped -> 'Lubuskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","","SBK","Einzelfund","Q1144458","","","unbek.","Q59496158","0","94","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Kulczycka-Leciejewiczowa 1993","14.74","51.86"
"Kulczycka-Leciejewiczowa 1993, Karte 1, Berlekamp 1966","","2","95","Czarnowo 10","Gmina Kozielice","pow. Pyrzycki","Q1411599","7530845","","","2662787","powiat pyrzycki","1.0","Exact match via rdfs:label [global index] | 'Powiat Pyrzycki' -> 'powiat pyrzycki'","Woj. Zachodniopomorskie","Q54188","3337499","","","104401","zachodniopomorskie","1.0","Exact match via skos:altLabel [global index] | 'Zachodniopomorskie' -> 'zachodniopomorskie' | [normalised: stripped -> 'Zachodniopomorskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","","SBK","Sondage, Oberflächenuntersuchung oder zufällige Entdeckung","","Dorka 1939","","Siedlung","Q486972","200","96","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Kulczycka-Leciejewiczowa 1993","14.73","53.14"
"Kulczycka-Leciejewiczowa 1993, Karte 1","","22","202","Jeziory Dolne","Gmina Brody","pow. Żarski","Q318459","7530731","","","2663860","powiat żarski","1.0","Exact match via rdfs:label [global index] | 'Powiat Żarski' -> 'powiat żarski'","Woj. Lubuskie","Q54157","3337494","","","130969","lubuskie","1.0","Exact match via skos:altLabel [global index] | 'Lubuskie' -> 'lubuskie' | [normalised: stripped -> 'Lubuskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","","SBK","Sondage, Oberflächenuntersuchung oder zufällige Entdeckung","","Kulczycka-Leciejewiczowa 1993","","unbek.","Q59496158","1500","97","Mittelpunkt der Gemeinde","Printpublikation","die Gemeinde wurde in digitalen Kartenwerken nachgeschlagen und der ungefähre Mittelpunkt der Gemeinde ausgelesen","14.75","51.8"
"Kulczycka-Leciejewiczowa 1993, Karte 1","","29","463","Wierzchno/Wirchenblatt","Gmina Brody","pow. Żarski","Q318459","7530731","","","2663860","powiat żarski","1.0","Exact match via rdfs:label [global index] | 'Powiat Żarski' -> 'powiat żarski'","Woj. Lubuskie","Q54157","3337494","","","130969","lubuskie","1.0","Exact match via skos:altLabel [global index] | 'Lubuskie' -> 'lubuskie' | [normalised: stripped -> 'Lubuskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","","SBK","Sondage, Oberflächenuntersuchung oder zufällige Entdeckung","","Jentsch 1885","","Grab","Q173387","2000","98","Mittelpunkt der Gemeinde","Printpublikation","die Gemeinde wurde in digitalen Kartenwerken nachgeschlagen und der ungefähre Mittelpunkt der Gemeinde ausgelesen","14.77","51.85"
"Kulczycka-Leciejewiczowa 1993, Karte 1","","24","225","Koło","Gmina Brody","pow. Żarski","Q318459","7530731","","","2663860","powiat żarski","1.0","Exact match via rdfs:label [global index] | 'Powiat Żarski' -> 'powiat żarski'","Woj. Lubuskie","Q54157","3337494","","","130969","lubuskie","1.0","Exact match via skos:altLabel [global index] | 'Lubuskie' -> 'lubuskie' | [normalised: stripped -> 'Lubuskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","","SBK","Sondage, Oberflächenuntersuchung oder zufällige Entdeckung","","Kulczycka-Leciejewiczowa 1993","","Siedlung","Q486972","2000","99","Mittelpunkt der Gemeinde","Printpublikation","die Gemeinde wurde in digitalen Kartenwerken nachgeschlagen und der ungefähre Mittelpunkt der Gemeinde ausgelesen","14.78","51.84"
"Kulczycka-Leciejewiczowa 1993, Karte 1","","27","420","Stargard Gubiński","Gmina Gubin","pow. Krosno Odrzańskie","Q317835","","","","","Powiat Krośnieński","1.0","Direct override | 'pow. Krosno Odrzańskie' -> QID=Q317835 | [override -> QID=Q317835]","Woj. Lubuskie","Q54157","3337494","","","130969","lubuskie","1.0","Exact match via skos:altLabel [global index] | 'Lubuskie' -> 'lubuskie' | [normalised: stripped -> 'Lubuskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","","SBK","großflächige Ausgrabung","Q959782","Kulczycka-Leciejewiczowa 1993","","Siedlung","Q486972","2000","100","Mittelpunkt der Gemeinde","Printpublikation","die Gemeinde wurde in digitalen Kartenwerken nachgeschlagen und der ungefähre Mittelpunkt der Gemeinde ausgelesen","14.79","51.88"
"Kulczycka-Leciejewiczowa 1993, Karte 1","","28","421","Starosiedle","Gmina Gubin","pow. Krośnieński","Q317835","7531030","","","2663855","powiat krośnieński","1.0","Exact match via rdfs:label [global index] | 'Powiat Krośnieński' -> 'powiat krośnieński'","Woj. Lubuskie","Q54157","3337494","","","130969","lubuskie","1.0","Exact match via skos:altLabel [global index] | 'Lubuskie' -> 'lubuskie' | [normalised: stripped -> 'Lubuskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","","SBK","Sondage, Oberflächenuntersuchung oder zufällige Entdeckung","","Kulczycka-Leciejewiczowa 1993","","unbek.","Q59496158","2000","101","Mittelpunkt der Gemeinde","Printpublikation","die Gemeinde wurde in digitalen Kartenwerken nachgeschlagen und der ungefähre Mittelpunkt der Gemeinde ausgelesen","14.82","51.86"
"Dorka 1939","","","356","Pyritz – Fechtner Scheune","Gmina Pyrzyce","pow. Pyrzycki","Q1411599","7530845","","","2662787","powiat pyrzycki","1.0","Exact match via rdfs:label [global index] | 'Powiat Pyrzycki' -> 'powiat pyrzycki'","Woj. Zachodniopomorskie","Q54188","3337499","","","104401","zachodniopomorskie","1.0","Exact match via skos:altLabel [global index] | 'Zachodniopomorskie' -> 'zachodniopomorskie' | [normalised: stripped -> 'Zachodniopomorskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","","Guhrau","Ausgrabung","Q959782","Dorka 1939","","unbek.","Q59496158","0","103","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Kulczycka-Leciejewiczowa 1993 and Dorka 1939","14.85","53.13"
"Kulczycka-Leciejewiczowa 1993, Karte 1 Nr 5","","","357","Pyritz – Weinberg","Gmina Pyrzyce","pow. Pyrzycki","Q1411599","7530845","","","2662787","powiat pyrzycki","1.0","Exact match via rdfs:label [global index] | 'Powiat Pyrzycki' -> 'powiat pyrzycki'","Woj. Zachodniopomorskie","Q54188","3337499","","","104401","zachodniopomorskie","1.0","Exact match via skos:altLabel [global index] | 'Zachodniopomorskie' -> 'zachodniopomorskie' | [normalised: stripped -> 'Zachodniopomorskie']","Polen","Q36","798544","7006366","2054097","49715","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","","SBK","Ausgrabung","Q959782","Dorka 1939","","Grab","Q173387","100","107","Georeferenzierung einer gedruckten Karte","Printpublikation","georeferenziert wurde gedrucktes Kartenmaterial von  Kulczycka-Leciejewiczowa 1993","14.9","53.15"
