"FID catalogue Schmidt 2026"|"GEMEINDE"|"KREIS"|"BUNDESLAND"|"LAND"
84|"Booßen"|"Frankfurt (Oder)"|"Brandenburg"|"Deutschland"
85|"Szczecin"|"pow. Szczecińska"|"Woj. Zachodniopomorskie"|"Polen"
86|"Grötsch"|"Spree-Neiße"|"Brandenburg"|"Deutschland"
87|"Merzdorf"|"Hoyerswerda"|"Sachsen"|"Deutschland"
88|"Boxberg/O.L."|"Görlitz"|"Sachsen"|"Deutschland"
89|"Boxberg/O.L."|"Görlitz"|"Sachsen"|"Deutschland"
90|"Heinersbrück"|"Spree-Neiße"|"Brandenburg"|"Deutschland"
91|"Heinersbrück"|"Spree-Neiße"|"Brandenburg"|"Deutschland"
92|"Heinersbrück"|"Spree-Neiße"|"Brandenburg"|"Deutschland"
93|"Gmina Gubin"|"pow. Krośnieński"|"Woj. Lubuskie"|"Polen"
94|"Gmina Gubin"|"pow. Krośnieński"|"Woj. Lubuskie"|"Polen"
96|"Gmina Kozielice"|"pow. Pyrzycki"|"Woj. Zachodniopomorskie"|"Polen"
97|"Gmina Brody"|"pow. Żarski"|"Woj. Lubuskie"|"Polen"
98|"Gmina Brody"|"pow. Żarski"|"Woj. Lubuskie"|"Polen"
99|"Gmina Brody"|"pow. Żarski"|"Woj. Lubuskie"|"Polen"
100|"Gmina Gubin"|"pow. Krosno Odrzańskie"|"Woj. Lubuskie"|"Polen"
101|"Gmina Gubin"|"pow. Krośnieński"|"Woj. Lubuskie"|"Polen"
103|"Gmina Pyrzyce"|"pow. Pyrzycki"|"Woj. Zachodniopomorskie"|"Polen"
107|"Gmina Pyrzyce"|"pow. Pyrzycki"|"Woj. Zachodniopomorskie"|"Polen"
111|"Gmina Dolice"|"pow. Stargardzki"|"Woj. Zachodniopomorskie"|"Polen"
114|"Gmina Nowogródek Pomorski"|"pow. Myśliborski"|"Woj. Zachodniopomorskie"|"Polen"
116|"Gmina Kłodawa"|"pow. Gorzów Wielkopolski"|"Woj. Wielkopolskie"|"Polen"
119|"Gmina Lubniewice"|"pow. Sulęciński"|"Woj. Lubuskie"|"Polen"
120|"Sulechów"|"pow. Zielonogórski"|"Woj. Lubuskie"|"Polen"
121|"Gmina Sulechów"|"pow. Zielonogórski"|"Woj. Wielkopolskie"|"Polen"
122|"Gmina Zwierzyn"|"pow. Strzelecko-Drezdenecki"|"Woj. Lubuskie"|"Polen"
123|"Gmina Drezdenko"|"pow. Strzelecko-Drezdenecki"|"Woj. Wielkopolskie"|"Polen"
125|"Gmina Zwierzyn"|"pow. Strzelecko-Drezdenecki"|"Woj. Lubuskie"|"Polen"
126|"Gmina Bytom Odrzański"|"pow. Nowosolski"|"Woj. Lubuskie"|"Polen"
128|"Gmina Żukowice"|"pow. Głogówski"|"Woj. Dolnośląskie"|"Polen"
129|"Gmina Żukowice"|"pow. Głogówski"|"Woj. Dolnośląskie"|"Polen"
131|"Gmina Głogów"|"pow. Głogówski"|"Woj. Dolnośląskie"|"Polen"
134|"Gmina Głogów"|"pow. Głogówski"|"Woj. Dolnośląskie"|"Polen"
136|"Gmina Głogów"|"pow. Głogówski"|"Woj. Dolnośląskie"|"Polen"
138|"Gmina Głogów"|"pow. Głogówski"|"Woj. Dolnośląskie"|"Polen"
139|"Gmina Głogów"|"pow. Głogówski"|"Woj. Dolnośląskie"|"Polen"
140|"Gmina Jawor"|"pow. Jaworski"|"Woj. Dolnośląskie"|"Polen"
141|"Gmina Pęcław"|"pow. Głogówski"|"Woj. Dolnośląskie"|"Polen"
142|"Gmina Głogów"|"pow. Głogówski"|"Woj. Dolnośląskie"|"Polen"
144|"Gmina Szlichtyngowa"|"pow. Wschowski"|"Woj. Lubuskie"|"Polen"
145|"Gmina Wądroże Wielkie"|"pow. Jaworski"|"Woj. Dolnośląskie"|"Polen"
146|"Gmina Ścinawa"|"pow. Lubiński"|"Woj. Dolnośląskie"|"Polen"
147|"Gmina Rudna"|"pow. Lubiński"|"Woj. Dolnośląskie"|"Polen"
148|"Gmina Góra"|"pow. Gorẃski"|"Woj. Dolnośląskie"|"Polen"
149|"Gmina Góra"|"pow. Gorẃski"|"Woj. Dolnośląskie"|"Polen"
150|"Gmina Góra"|"pow. Gorẃski"|"Woj. Dolnośląskie"|"Polen"
151|"Gmina Brzeg Dolny"|"pow. Wołowski"|"Woj. Dolnośląskie"|"Polen"
152|"Gmina Kościan"|"pow. Kościan"|"Woj. Wielkopolskie"|"Polen"
153|"Gmina Kościan"|"pow. Kościan"|"Woj. Wielkopolskie"|"Polen"
154|"Gmina Ząbkowice Śląskie"|"pow. Ząbkowicki"|"Woj. Dolnośląskie"|"Polen"
