"FID catalogue Schmidt 2026"|"GEMEINDE"|"KREIS"|"BUNDESLAND"|"LAND"
350|"Münchehofe"|"Märkisch-Oderland"|"Brandenburg"|"Deutschland"
351|"Friedersdorf"|"Märkisch-Oderland"|"Brandenburg"|"Deutschland"
352|"Krewelin"|"Oberhavel"|"Brandenburg"|"Deutschland"
353|"Badingen"|"Oberhavel"|"Brandenburg"|"Deutschland"
354|"Zehdenick"|"Oberhavel"|"Brandenburg"|"Deutschland"
355|"Sommerfeld"|"Oberhavel"|"Brandenburg"|"Deutschland"
356|"Teschendorf"|"Oberhavel"|"Brandenburg"|"Deutschland"
357|"Zehdenick"|"Oberhavel"|"Brandenburg"|"Deutschland"
358|"Birkenwerder"|"Oberhavel"|"Brandenburg"|"Deutschland"
359|"Birkenwerder"|"Oberhavel"|"Brandenburg"|"Deutschland"
360|"Burgwall"|"Oberhavel"|"Brandenburg"|"Deutschland"
361|"Badingen"|"Oberhavel"|"Brandenburg"|"Deutschland"
362|"Germendorf"|"Oberhavel"|"Brandenburg"|"Deutschland"
363|"Kappe"|"Oberhavel"|"Brandenburg"|"Deutschland"
364|"Krewelin"|"Oberhavel"|"Brandenburg"|"Deutschland"
365|"Oranienburg"|"Oberhavel"|"Brandenburg"|"Deutschland"
366|"Leipe"|"Oberspreewald-Lausitz"|"Brandenburg"|"Deutschland"
367|"Lübbenau"|"Oberspreewald-Lausitz"|"Brandenburg"|"Deutschland"
368|"Rieplos"|"Oder-Spree"|"Brandenburg"|"Deutschland"
369|"Fürstenwalde"|"Oder-Spree"|"Brandenburg"|"Deutschland"
370|"Fürstenwalde-Süd"|"Oder-Spree"|"Brandenburg"|"Deutschland"
371|"Tempelberg"|"Oder-Spree"|"Brandenburg"|"Deutschland"
372|"Schwerin"|"Oder-Spree"|"Brandenburg"|"Deutschland"
373|"Wusterhausen (Dosse)"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
374|"Kötzlin"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
375|"Dreetz"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
376|"Kyritz"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
377|"Lohm"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
378|"Roddahn"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
379|"Wusterhausen (Dosse)"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
380|"Wusterhausen (Dosse)"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
381|"Alt Ruppin"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
382|"Herzberg"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
383|"Langen"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
384|"Lüchfeld"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
385|"Wildberg"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
386|"Wildberg"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
387|"Zechliner Hütte"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
388|"Altfriesack"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
389|"Wulkow bei Alt Ruppin"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
390|"Alt Ruppin"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
391|"Alt Ruppin"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
392|"Alt Ruppin"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
393|"Königshorst"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
394|"Wusterhausen (Dosse)"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
395|"Zechliner Hütte"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
396|"Lohm"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
397|"Königshorst"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
398|"Königshorst"|"Ostprignitz-Ruppin"|"Brandenburg"|"Deutschland"
399|"Potsdam"|"Potsdam"|"Brandenburg"|"Deutschland"
400|"Potsdam"|"Potsdam"|"Brandenburg"|"Deutschland"
401|"Bornim"|"Potsdam"|"Brandenburg"|"Deutschland"
402|"Potsdam"|"Potsdam"|"Brandenburg"|"Deutschland"
403|"Potsdam"|"Potsdam"|"Brandenburg"|"Deutschland"
404|"Emstal"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
405|"Hohenferchesar"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
406|"Alt Töplitz"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
407|"Alt Töplitz"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
408|"Alt Töplitz"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
409|"Bergholz-Rehbrücke"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
410|"Bergholz-Rehbrücke"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
411|"Geltow"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
412|"Geltow"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
413|"Krampnitz"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
414|"Plötzin"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
415|"Satzkorn"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
416|"Gollwitz"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
417|"Philippsthal"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
418|"Marquardt"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
419|"Ferch"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
421|"Treuenbrietzen"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
422|"Treuenbrietzen"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
423|"Wildenbruch"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
424|"Alt Töplitz"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
425|"Alt Töplitz"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
426|"Kleinmachnow"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
427|"Beelitz"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
428|"Neuhausen"|"Prignitz"|"Brandenburg"|"Deutschland"
429|"Pirow"|"Prignitz"|"Brandenburg"|"Deutschland"
430|"Putlitz"|"Prignitz"|"Brandenburg"|"Deutschland"
431|"Kleinow"|"Prignitz"|"Brandenburg"|"Deutschland"
432|"Sadenbeck"|"Prignitz"|"Brandenburg"|"Deutschland"
433|"Babekuhl"|"Prignitz"|"Brandenburg"|"Deutschland"
434|"Lenzen"|"Prignitz"|"Brandenburg"|"Deutschland"
435|"Semlin"|"Prignitz"|"Brandenburg"|"Deutschland"
436|"Perleberg"|"Prignitz"|"Brandenburg"|"Deutschland"
437|"Premslin"|"Prignitz"|"Brandenburg"|"Deutschland"
438|"Groß Linde"|"Prignitz"|"Brandenburg"|"Deutschland"
439|"Tacken"|"Prignitz"|"Brandenburg"|"Deutschland"
440|"Hinzdorf"|"Prignitz"|"Brandenburg"|"Deutschland"
441|"Kleeste"|"Prignitz"|"Brandenburg"|"Deutschland"
442|"Wustrow"|"Prignitz"|"Brandenburg"|"Deutschland"
443|"Raakow"|"Spree-Neiße"|"Brandenburg"|"Deutschland"
444|"Blankensee"|"Teltow-Fläming"|"Brandenburg"|"Deutschland"
445|"Ahrensdorf bei Ludwigsfelde"|"Teltow-Fläming"|"Brandenburg"|"Deutschland"
446|"Blankenfelde"|"Teltow-Fläming"|"Brandenburg"|"Deutschland"
447|"Gröben"|"Teltow-Fläming"|"Brandenburg"|"Deutschland"
448|"Gröben"|"Teltow-Fläming"|"Brandenburg"|"Deutschland"
449|"Kummersdorf"|"Teltow-Fläming"|"Brandenburg"|"Deutschland"
450|"Mellensee"|"Teltow-Fläming"|"Brandenburg"|"Deutschland"
453|"Sperenberg"|"Teltow-Fläming"|"Brandenburg"|"Deutschland"
454|"Zesch"|"Teltow-Fläming"|"Brandenburg"|"Deutschland"
455|"Zossen"|"Teltow-Fläming"|"Brandenburg"|"Deutschland"
456|"Trebbin"|"Teltow-Fläming"|"Brandenburg"|"Deutschland"
459|"Blankensee"|"Teltow-Fläming"|"Brandenburg"|"Deutschland"
460|"Blankensee"|"Teltow-Fläming"|"Brandenburg"|"Deutschland"
461|"Blankensee"|"Teltow-Fläming"|"Brandenburg"|"Deutschland"
462|"Klein Kienitz"|"Teltow-Fläming"|"Brandenburg"|"Deutschland"
463|"Kliestow"|"Teltow-Fläming"|"Brandenburg"|"Deutschland"
464|"Angermünde"|"Uckermark"|"Brandenburg"|"Deutschland"
465|"Dobberzin"|"Uckermark"|"Brandenburg"|"Deutschland"
466|"Felchow"|"Uckermark"|"Brandenburg"|"Deutschland"
467|"Felchow"|"Uckermark"|"Brandenburg"|"Deutschland"
468|"Angermünde"|"Uckermark"|"Brandenburg"|"Deutschland"
469|"Gellmersdorf"|"Uckermark"|"Brandenburg"|"Deutschland"
470|"Berkholz zu Berkholz-Meyenburg"|"Uckermark"|"Brandenburg"|"Deutschland"
471|"Flemsdorf"|"Uckermark"|"Brandenburg"|"Deutschland"
472|"Görlsdorf"|"Uckermark"|"Brandenburg"|"Deutschland"
473|"Günterberg"|"Uckermark"|"Brandenburg"|"Deutschland"
474|"Hohenlandin"|"Uckermark"|"Brandenburg"|"Deutschland"
475|"Niederlandin"|"Uckermark"|"Brandenburg"|"Deutschland"
476|"Schmargendorf"|"Uckermark"|"Brandenburg"|"Deutschland"
477|"Schönermark"|"Uckermark"|"Brandenburg"|"Deutschland"
478|"Staffelde"|"Uckermark"|"Brandenburg"|"Deutschland"
479|"Wartin"|"Uckermark"|"Brandenburg"|"Deutschland"
480|"Fürstenwerder"|"Uckermark"|"Brandenburg"|"Deutschland"
481|"Gollmitz"|"Uckermark"|"Brandenburg"|"Deutschland"
482|"Schenkenberg"|"Uckermark"|"Brandenburg"|"Deutschland"
483|"Fürstenwerder"|"Uckermark"|"Brandenburg"|"Deutschland"
484|"Wollschow"|"Uckermark"|"Brandenburg"|"Deutschland"
485|"Schwedt"|"Uckermark"|"Brandenburg"|"Deutschland"
486|"Knehden"|"Uckermark"|"Brandenburg"|"Deutschland"
487|"Kreuzkrug"|"Uckermark"|"Brandenburg"|"Deutschland"
488|"Petersdorf"|"Uckermark"|"Brandenburg"|"Deutschland"
489|"Templin"|"Uckermark"|"Brandenburg"|"Deutschland"
490|"Schwedt"|"Uckermark"|"Brandenburg"|"Deutschland"
491|"Lychen"|"Uckermark"|"Brandenburg"|"Deutschland"
492|"Dobberzin"|"Uckermark"|"Brandenburg"|"Deutschland"
493|"Berkholz zu Berkholz-Meyenburg"|"Uckermark"|"Brandenburg"|"Deutschland"
494|"Zichow"|"Uckermark"|"Brandenburg"|"Deutschland"
495|"Herzfelde"|"Uckermark"|"Brandenburg"|"Deutschland"
496|"Carmzow"|"Uckermark"|"Brandenburg"|"Deutschland"
497|"Bandelow"|"Uckermark"|"Brandenburg"|"Deutschland"
498|"Grünberg"|"Uckermark"|"Brandenburg"|"Deutschland"
499|"Prenzlau"|"Uckermark"|"Brandenburg"|"Deutschland"
500|"Groß Dölln"|"Uckermark"|"Brandenburg"|"Deutschland"
501|"Crussow"|"Uckermark"|"Brandenburg"|"Deutschland"
502|"Zollchow"|"Uckermark"|"Brandenburg"|"Deutschland"
503|"Grünow bei Prenzlau"|"Uckermark"|"Brandenburg"|"Deutschland"
504|"Kienberg"|"Havelland"|"Brandenburg"|"Deutschland"
505|"Woltersdorf"|"Potsdam-Mittelmark"|"Brandenburg"|"Deutschland"
506|"Speichrow"|"Dahme-Spreewald"|"Brandenburg"|"Deutschland"
507|"Leibsch"|"Dahme-Spreewald"|"Brandenburg"|"Deutschland"
508|"Friesack"|"Havelland"|"Brandenburg"|"Deutschland"
510|"Friesack"|"Havelland"|"Brandenburg"|"Deutschland"
511|"Gmina Inowrocław"|"pow. Inowrocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
512|"Gmina Dąbrowa Biskupia"|"pow. Inowrocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
525|"Gmina Inwowrocław"|"pow. Inowrocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
513|"Gmina Pakość"|"pow. Inowrocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
514|"Gmina Kruszwica"|"pow. Inowrocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
515|"Gmina Gąsawa"|"pow. Żniński"|"Woj. Kujawsko-Pomorskie"|"Polen"
516|"Gmina Mogilno"|"pow. Mogileński"|"Woj. Kujawsko-Pomorskie"|"Polen"
517|"Gmina Pakość"|"pow. Inowrocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
541|"Gmina Pakość"|"pow. Inowrocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
518|"Gmina Zlotniki Kuj."|"pow. Inowrocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
519|"Gmina Gąsawa"|"pow. Żniński"|"Woj. Kujawsko-Pomorskie"|"Polen"
520|"Gmina Gąsawa"|"pow. Żniński"|"Woj. Kujawsko-Pomorskie"|"Polen"
521|"Gmina Złotniki Kuj."|"pow. Inowrocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
522|"Gmina Żnin"|"pow. Żniński"|"Woj. Kujawsko-Pomorskie"|"Polen"
523|"Gmina Gąsawa"|"pow. Żniński"|"Woj. Kujawsko-Pomorskie"|"Polen"
540|"Gmina Mogilno"|"pow. Mogileński"|"Woj. Kujawsko-Pomorskie"|"Polen"
524|"Gmina Strzelno"|"pow. Mogileński"|"Woj. Kujawsko-Pomorskie"|"Polen"
529|"Gmina Pakość"|"pow. Inowrocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
530|"Gmin Strzelno"|"pow. Mogileński"|"Woj. Kujawsko-Pomorskie"|"Polen"
531|"Gmina Inowrocław"|"pow. Inowrocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
532|"Gmina Inowrocław"|"pow. Inowrocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
533|"Gmina Inowrocław"|"pow. Inowrocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
526|"Gmina Inowrocław"|"pow. Inowrocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
527|"Gmina Dobre"|"pow. Miński"|"Woj. Kujawsko-Pomorskie"|"Polen"
528|"Gmina Dobre"|"pow. Miński"|"Woj. Kujawsko-Pomorskie"|"Polen"
537|"Gmina Kcynia"|"pow. Nakielski"|"Woj. Kujawsko-Pomorskie"|"Polen"
536|"Gmina Lubraniec"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
534|"Gmina Izbica Kuj."|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
535|"Gmina Dobre"|"pow. Miński"|"Woj. Kujawsko-Pomorskie"|"Polen"
538|"Gmina Ciechocinek"|"pow. Aleksandrowski"|"Woj. Kujawsko-Pomorskie"|"Polen"
539|"Gmina Dąbrowa Biskupia"|"pow. Inowrocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
550|"Gmina Kruszwica"|"pow. Inowrocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
543|"Gmina Pakość"|"pow. Inowrocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
544|"Gmina Janikowo"|"pow. Inowrocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
546|"Gmina Pakość"|"pow. Inowrocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
547|"Gmina Złotniki Kuj."|"pow. Inowrocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
542|"Gmina Kruszwica"|"pow. Inowrocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
548|"Gmina Wocławek"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
549|"Gmina Wocławek"|"pow. Włocławski"|"Woj. Kujawsko-Pomorskie"|"Polen"
551|"Boxberg/O.L."|"Görlitz"|"Sachsen"|"Deutschland"
552|"Boxberg/O.L."|"Görlitz"|"Sachsen"|"Deutschland"
562|"Gmina Dobra"|"pow. Policki"|"Woj. Zachodniopomorskie"|"Polen"
561|"Gmina Kołbaskowo"|"pow. Policki"|"Woj. Zachodniopomorskie"|"Polen"
560|"Gmina Kołbaskowo"|"pow. Policki"|"Woj. Zachodniopomorskie"|"Polen"
559|"Gmina Kołbaskowo"|"pow. Policki"|"Woj. Zachodniopomorskie"|"Polen"
558|"Gmina Dobra"|"pow. Policki"|"Woj. Zachodniopomorskie"|"Polen"
557|"Gmina Dobra"|"pow. Policki"|"Woj. Zachodniopomorskie"|"Polen"
556|"Gmina Kołbaskowo"|"pow. Policki"|"Woj. Zachodniopomorskie"|"Polen"
555|"Gmina Kołbaskowo"|"pow. Policki"|"Woj. Zachodniopomorskie"|"Polen"
554|"Gmina Kołbaskowo"|"pow. Policki"|"Woj. Zachodniopomorskie"|"Polen"
553|"Gmina Dobra"|"pow. Policki"|"Woj. Zachodniopomorskie"|"Polen"
563|"Neuendorf am See"|"Dahme-Spreewald"|"Brandenburg"|"Deutschland"
564|"Fürstenwalde"|"Oder-Spree"|"Brandenburg"|"Deutschland"
565|"Rhinow"|"Havelland"|"Brandenburg"|"Deutschland"
571|"Hohenbrück"|"Dahme-Spreewald"|"Brandenburg"|"Deutschland"
574|"Neuendorf am See"|"Dahme-Spreewald"|"Brandenburg"|"Deutschland"
575|"Heinersbrück"|"Spree-Neiße"|"Brandenburg"|"Deutschland"
579|"Potsdam"|"Potsdam"|"Brandenburg"|"Deutschland"
580|"Potsdam"|"Potsdam"|"Brandenburg"|"Deutschland"
581|"Trebus"|"Oder-Spree"|"Brandenburg"|"Deutschland"
582|"Kietz"|"Havelland"|"Brandenburg"|"Deutschland"
584|"Bochow"|"Teltow-Fläming"|"Brandenburg"|"Deutschland"
585|"Klinkow"|"Uckermark"|"Brandenburg"|"Deutschland"
586|"Schwaneberg"|"Uckermark"|"Brandenburg"|"Deutschland"
587|"Bietikow"|"Uckermark"|"Brandenburg"|"Deutschland"
588|"Potzlow"|"Uckermark"|"Brandenburg"|"Deutschland"
589|"Rhinow"|"Havelland"|"Brandenburg"|"Deutschland"
590|"Hoppenrade"|"Havelland"|"Brandenburg"|"Deutschland"
