"FID catalogue Schmidt 2026","GEMEINDE","KREIS","BUNDESLAND","LAND","LAND_QID","LAND_GeoNames","LAND_matchLabel","LAND_matchScore","LAND_matchReason","BUNDESLAND_QID","BUNDESLAND_GeoNames","BUNDESLAND_matchLabel","BUNDESLAND_matchScore","BUNDESLAND_matchReason","KREIS_QID","KREIS_GeoNames","KREIS_matchLabel","KREIS_matchScore","KREIS_matchReason"
"131","Gmina Głogów","pow. Głogówski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q631754","7530806","Powiat Głogowski","0.9375","Fuzzy match (score=0.94) via rdfs:label [global index] | 'Powiat Głogówski' -> 'Powiat Głogowski'"
"134","Gmina Głogów","pow. Głogówski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q631754","7530806","Powiat Głogowski","0.9375","Fuzzy match (score=0.94) via rdfs:label [global index] | 'Powiat Głogówski' -> 'Powiat Głogowski'"
"136","Gmina Głogów","pow. Głogówski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q631754","7530806","Powiat Głogowski","0.9375","Fuzzy match (score=0.94) via rdfs:label [global index] | 'Powiat Głogówski' -> 'Powiat Głogowski'"
"138","Gmina Głogów","pow. Głogówski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q631754","7530806","Powiat Głogowski","0.9375","Fuzzy match (score=0.94) via rdfs:label [global index] | 'Powiat Głogówski' -> 'Powiat Głogowski'"
"139","Gmina Głogów","pow. Głogówski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q631754","7530806","Powiat Głogowski","0.9375","Fuzzy match (score=0.94) via rdfs:label [global index] | 'Powiat Głogówski' -> 'Powiat Głogowski'"
"140","Gmina Jawor","pow. Jaworski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q637105","7530815","Powiat Jaworski","1.0","Exact match via rdfs:label [global index] | 'Powiat Jaworski' -> 'Powiat Jaworski'"
"141","Gmina Pęcław","pow. Głogówski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q631754","7530806","Powiat Głogowski","0.9375","Fuzzy match (score=0.94) via rdfs:label [global index] | 'Powiat Głogówski' -> 'Powiat Głogowski'"
"142","Gmina Głogów","pow. Głogówski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q631754","7530806","Powiat Głogowski","0.9375","Fuzzy match (score=0.94) via rdfs:label [global index] | 'Powiat Głogówski' -> 'Powiat Głogowski'"
"144","Gmina Szlichtyngowa","pow. Wschowski","Woj. Lubuskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54157","3337494","lubuskie","1.0","Exact match via skos:altLabel [global index] | 'Lubuskie' -> 'lubuskie' | [normalised: stripped -> 'Lubuskie']","Q318376","7530812","Powiat Wschowski","1.0","Exact match via rdfs:label [global index] | 'Powiat Wschowski' -> 'Powiat Wschowski'"
"145","Gmina Wądroże Wielkie","pow. Jaworski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q637105","7530815","Powiat Jaworski","1.0","Exact match via rdfs:label [global index] | 'Powiat Jaworski' -> 'Powiat Jaworski'"
"146","Gmina Ścinawa","pow. Lubiński","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q687839","7530831","Powiat Lubiński","1.0","Exact match via rdfs:label [global index] | 'Powiat Lubiński' -> 'Powiat Lubiński'"
"147","Gmina Rudna","pow. Lubiński","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q687839","7530831","Powiat Lubiński","1.0","Exact match via rdfs:label [global index] | 'Powiat Lubiński' -> 'Powiat Lubiński'"
"148","Gmina Góra","pow. Gorẃski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q636757","7530807","Powiat Górowski","0.8276","Fuzzy match (score=0.83) via rdfs:label [global index] | 'Powiat Gorẃski' -> 'Powiat Górowski'"
"149","Gmina Góra","pow. Gorẃski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q636757","7530807","Powiat Górowski","0.8276","Fuzzy match (score=0.83) via rdfs:label [global index] | 'Powiat Gorẃski' -> 'Powiat Górowski'"
"150","Gmina Góra","pow. Gorẃski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q636757","7530807","Powiat Górowski","0.8276","Fuzzy match (score=0.83) via rdfs:label [global index] | 'Powiat Gorẃski' -> 'Powiat Górowski'"
"151","Gmina Brzeg Dolny","pow. Wołowski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q715925","7530849","Powiat Wołowski","1.0","Exact match via rdfs:label [global index] | 'Powiat Wołowski' -> 'Powiat Wołowski'"
"152","Gmina Kościan","pow. Kościan","Woj. Wielkopolskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54187","3337498","wielkopolskie","1.0","Exact match via skos:altLabel [global index] | 'Wielkopolskie' -> 'wielkopolskie' | [normalised: stripped -> 'Wielkopolskie']","Q133188","7531076","Powiat Kościański","0.8387","Fuzzy match (score=0.84) via rdfs:label [global index] | 'Powiat Kościan' -> 'Powiat Kościański'"
"153","Gmina Kościan","pow. Kościan","Woj. Wielkopolskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54187","3337498","wielkopolskie","1.0","Exact match via skos:altLabel [global index] | 'Wielkopolskie' -> 'wielkopolskie' | [normalised: stripped -> 'Wielkopolskie']","Q133188","7531076","Powiat Kościański","0.8387","Fuzzy match (score=0.84) via rdfs:label [global index] | 'Powiat Kościan' -> 'Powiat Kościański'"
"154","Gmina Ząbkowice Śląskie","pow. Ząbkowicki","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q716143","7530851","Powiat Ząbkowicki","1.0","Exact match via rdfs:label [global index] | 'Powiat Ząbkowicki' -> 'Powiat Ząbkowicki'"
"155","Gmina Sobótka","pow. Wrocławski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q715974","7530850","Powiat Wrocławski","1.0","Exact match via rdfs:label [global index] | 'Powiat Wrocławski' -> 'Powiat Wrocławski'"
"156","Gmina Kąty Wrocławskie","pow. Wrocławski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q715974","7530850","Powiat Wrocławski","1.0","Exact match via rdfs:label [global index] | 'Powiat Wrocławski' -> 'Powiat Wrocławski'"
"157","Gmina Jordanów Śląski","pow. Wrocławski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q715974","7530850","Powiat Wrocławski","1.0","Exact match via rdfs:label [global index] | 'Powiat Wrocławski' -> 'Powiat Wrocławski'"
"158","Gmina Kobierzyce","pow. Wrocławski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q715974","7530850","Powiat Wrocławski","1.0","Exact match via rdfs:label [global index] | 'Powiat Wrocławski' -> 'Powiat Wrocławski'"
"159","Gmina Jordanów Śląski","pow. Wrocławski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q715974","7530850","Powiat Wrocławski","1.0","Exact match via rdfs:label [global index] | 'Powiat Wrocławski' -> 'Powiat Wrocławski'"
"160","Gmina Jordanów Śląski","pow. Wrocławski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q715974","7530850","Powiat Wrocławski","1.0","Exact match via rdfs:label [global index] | 'Powiat Wrocławski' -> 'Powiat Wrocławski'"
"161","Gmina Wrocław","pow. Wrocławski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q715974","7530850","Powiat Wrocławski","1.0","Exact match via rdfs:label [global index] | 'Powiat Wrocławski' -> 'Powiat Wrocławski'"
"162","Gmina Wrocław","pow. Wrocławski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q715974","7530850","Powiat Wrocławski","1.0","Exact match via rdfs:label [global index] | 'Powiat Wrocławski' -> 'Powiat Wrocławski'"
"163","Gmina Wrocław","pow. Wrocławski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q715974","7530850","Powiat Wrocławski","1.0","Exact match via rdfs:label [global index] | 'Powiat Wrocławski' -> 'Powiat Wrocławski'"
"164","Gmina Wrocław","pow. Wrocławski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q715974","7530850","Powiat Wrocławski","1.0","Exact match via rdfs:label [global index] | 'Powiat Wrocławski' -> 'Powiat Wrocławski'"
"165","Gmina Paczków","pow. Nyski","Woj. Opolskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54171","3337495","opolskie","1.0","Exact match via skos:altLabel [global index] | 'Opolskie' -> 'opolskie' | [normalised: stripped -> 'Opolskie']","Q461537","7530734","Powiat Nyski","1.0","Exact match via rdfs:label [global index] | 'Powiat Nyski' -> 'Powiat Nyski'"
"166","Gmina Oława","pow. Oławski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q715475","7530835","Powiat Oławski","1.0","Exact match via rdfs:label [global index] | 'Powiat Oławski' -> 'Powiat Oławski'"
"167","Gmina Oława","pow. Oławski","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q715475","7530835","Powiat Oławski","1.0","Exact match via rdfs:label [global index] | 'Powiat Oławski' -> 'Powiat Oławski'"
"168","Gmina Wiązów","pow. Strzeliński","Woj. Dolnośląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54150","3337492","dolnośląskie","1.0","Exact match via skos:altLabel [global index] | 'Dolnośląskie' -> 'dolnośląskie' | [normalised: stripped -> 'Dolnośląskie']","Q179986","7530837","Powiat Strzeliński","1.0","Exact match via rdfs:label [global index] | 'Powiat Strzeliński' -> 'Powiat Strzeliński'"
"169","Gmina Kcynia","pow. Nakielski","Woj. Wielkopolskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54187","3337498","wielkopolskie","1.0","Exact match via skos:altLabel [global index] | 'Wielkopolskie' -> 'wielkopolskie' | [normalised: stripped -> 'Wielkopolskie']","Q583446","7530913","Powiat Nakielski","1.0","Exact match via rdfs:label [global index] | 'Powiat Nakielski' -> 'Powiat Nakielski'"
"170","Gmina Branice","pow. Głubczycki","Woj. Opolskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54171","3337495","opolskie","1.0","Exact match via skos:altLabel [global index] | 'Opolskie' -> 'opolskie' | [normalised: stripped -> 'Opolskie']","Q461252","7531046","Powiat Głubczycki","1.0","Exact match via rdfs:label [global index] | 'Powiat Głubczycki' -> 'Powiat Głubczycki'"
"171","Gmina Głogówek","pow. Prudnicki","Woj. Opolskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54171","3337495","opolskie","1.0","Exact match via skos:altLabel [global index] | 'Opolskie' -> 'opolskie' | [normalised: stripped -> 'Opolskie']","Q462130","7531047","powiat prudnicki","1.0","Exact match via rdfs:label [global index] | 'Powiat Prudnicki' -> 'powiat prudnicki'"
"172","Gmina Słubca","pow. Słupecki","Woj. Małopolskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54159","858786","małopolskie","1.0","Exact match via skos:altLabel [global index] | 'Małopolskie' -> 'małopolskie' | [normalised: stripped -> 'Małopolskie']","Q133257","","Powiat Słupecki","1.0","Direct override | 'pow. Słupecki' -> QID=Q133257 | [override -> QID=Q133257]"
"173","Gmina Raciborz","pow. Raciborski","Woj. Śląskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54181","3337497","śląskie","1.0","Direct override | 'Woj. Śląskie' -> QID=Q54181 | [stripped -> 'Śląskie'; override -> QID=Q54181]","Q554313","7531054","Powiat Raciborski","1.0","Exact match via rdfs:label [global index] | 'Powiat Raciborski' -> 'Powiat Raciborski'"
"174","Gmina Bukowiec","pow. Świecki","Woj. Kujawsko-Pomorskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54153","3337500","kujawsko-pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Kujawsko-Pomorskie' -> 'kujawsko-pomorskie' | [normalised: stripped -> 'Kujawsko-Pomorskie']","Q774944","7530917","Powiat Świecki","1.0","Exact match via rdfs:label [global index] | 'Powiat Świecki' -> 'Powiat Świecki'"
"175","Gmina Chełmża","pow. Toruński","Woj. Kujawsko-Pomorskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54153","3337500","kujawsko-pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Kujawsko-Pomorskie' -> 'kujawsko-pomorskie' | [normalised: stripped -> 'Kujawsko-Pomorskie']","Q650180","7530918","powiat toruński","1.0","Exact match via rdfs:label [global index] | 'Powiat Toruński' -> 'powiat toruński'"
"176","Skórcz","pow. Starogardzki","Woj. Pomorskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54180","3337496","pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Pomorskie' -> 'pomorskie' | [normalised: stripped -> 'Pomorskie']","Q1341090","7530934","Powiat Starogardzki","1.0","Exact match via rdfs:label [global index] | 'Powiat Starogardzki' -> 'Powiat Starogardzki'"
"177","Pelplin","pow. Tczewski","Woj. Pomorskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54180","3337496","pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Pomorskie' -> 'pomorskie' | [normalised: stripped -> 'Pomorskie']","Q1341069","7530935","Powiat Tczewski","1.0","Exact match via rdfs:label [global index] | 'Powiat Tczewski' -> 'Powiat Tczewski'"
"178","Pelplin","pow. Tczewski","Woj. Pomorskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54180","3337496","pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Pomorskie' -> 'pomorskie' | [normalised: stripped -> 'Pomorskie']","Q1341069","7530935","Powiat Tczewski","1.0","Exact match via rdfs:label [global index] | 'Powiat Tczewski' -> 'Powiat Tczewski'"
"179","Gmina Chełmża","pow. Toruński","Woj. Kujawsko-Pomorskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54153","3337500","kujawsko-pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Kujawsko-Pomorskie' -> 'kujawsko-pomorskie' | [normalised: stripped -> 'Kujawsko-Pomorskie']","Q650180","7530918","powiat toruński","1.0","Exact match via rdfs:label [global index] | 'Powiat Toruński' -> 'powiat toruński'"
"180","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54153","3337500","kujawsko-pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Kujawsko-Pomorskie' -> 'kujawsko-pomorskie' | [normalised: stripped -> 'Kujawsko-Pomorskie']","Q687625","7530914","powiat radziejowski","1.0","Exact match via rdfs:label [global index] | 'Powiat Radziejowski' -> 'powiat radziejowski'"
"181","Gmina Zakrzewo","pow. Aleksandrowski","Woj. Kujawsko-Pomorskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54153","3337500","kujawsko-pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Kujawsko-Pomorskie' -> 'kujawsko-pomorskie' | [normalised: stripped -> 'Kujawsko-Pomorskie']","Q750491","7530904","Powiat Aleksandrowski","1.0","Exact match via rdfs:label [global index] | 'Powiat Aleksandrowski' -> 'Powiat Aleksandrowski'"
"182","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54153","3337500","kujawsko-pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Kujawsko-Pomorskie' -> 'kujawsko-pomorskie' | [normalised: stripped -> 'Kujawsko-Pomorskie']","Q687625","7530914","powiat radziejowski","1.0","Exact match via rdfs:label [global index] | 'Powiat Radziejowski' -> 'powiat radziejowski'"
"183","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54153","3337500","kujawsko-pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Kujawsko-Pomorskie' -> 'kujawsko-pomorskie' | [normalised: stripped -> 'Kujawsko-Pomorskie']","Q687625","7530914","powiat radziejowski","1.0","Exact match via rdfs:label [global index] | 'Powiat Radziejowski' -> 'powiat radziejowski'"
"184","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54153","3337500","kujawsko-pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Kujawsko-Pomorskie' -> 'kujawsko-pomorskie' | [normalised: stripped -> 'Kujawsko-Pomorskie']","Q687625","7530914","powiat radziejowski","1.0","Exact match via rdfs:label [global index] | 'Powiat Radziejowski' -> 'powiat radziejowski'"
"185","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54153","3337500","kujawsko-pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Kujawsko-Pomorskie' -> 'kujawsko-pomorskie' | [normalised: stripped -> 'Kujawsko-Pomorskie']","Q687625","7530914","powiat radziejowski","1.0","Exact match via rdfs:label [global index] | 'Powiat Radziejowski' -> 'powiat radziejowski'"
"186","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54153","3337500","kujawsko-pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Kujawsko-Pomorskie' -> 'kujawsko-pomorskie' | [normalised: stripped -> 'Kujawsko-Pomorskie']","Q774833","7530921","Powiat Włocławski","1.0","Exact match via rdfs:label [global index] | 'Powiat Włocławski' -> 'Powiat Włocławski'"
"187","Gmina Brześć Kujawski","pow. Włocławski","Woj. Kujawsko-Pomorskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54153","3337500","kujawsko-pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Kujawsko-Pomorskie' -> 'kujawsko-pomorskie' | [normalised: stripped -> 'Kujawsko-Pomorskie']","Q774833","7530921","Powiat Włocławski","1.0","Exact match via rdfs:label [global index] | 'Powiat Włocławski' -> 'Powiat Włocławski'"
"188","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54153","3337500","kujawsko-pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Kujawsko-Pomorskie' -> 'kujawsko-pomorskie' | [normalised: stripped -> 'Kujawsko-Pomorskie']","Q687625","7530914","powiat radziejowski","1.0","Exact match via rdfs:label [global index] | 'Powiat Radziejowski' -> 'powiat radziejowski'"
"189","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54153","3337500","kujawsko-pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Kujawsko-Pomorskie' -> 'kujawsko-pomorskie' | [normalised: stripped -> 'Kujawsko-Pomorskie']","Q687625","7530914","powiat radziejowski","1.0","Exact match via rdfs:label [global index] | 'Powiat Radziejowski' -> 'powiat radziejowski'"
"190","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54153","3337500","kujawsko-pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Kujawsko-Pomorskie' -> 'kujawsko-pomorskie' | [normalised: stripped -> 'Kujawsko-Pomorskie']","Q687625","7530914","powiat radziejowski","1.0","Exact match via rdfs:label [global index] | 'Powiat Radziejowski' -> 'powiat radziejowski'"
"191","Gmina Osięciny","pow. Radziejowski","Woj. Kujawsko-Pomorskie","Polen","Q36","798544","Polen","1.0","Exact match via rdfs:label [global index] | 'Polen' -> 'Polen'","Q54153","3337500","kujawsko-pomorskie","1.0","Exact match via skos:altLabel [global index] | 'Kujawsko-Pomorskie' -> 'kujawsko-pomorskie' | [normalised: stripped -> 'Kujawsko-Pomorskie']","Q687625","7530914","powiat radziejowski","1.0","Exact match via rdfs:label [global index] | 'Powiat Radziejowski' -> 'powiat radziejowski'"
